id,name,college,country
4247,Juwan Morgan,Indiana,USA
4250,KZ Okpala,Stanford,USA
4254,Kadeem Allen,Arizona,USA
4260,Karl-Anthony Towns,Kentucky,USA
4264,Kawhi Leonard,San Diego State,USA
4267,Keita Bates-Diop,Ohio State,USA
4270,Kelan Martin,Butler,USA
4273,Keldon Johnson,Kentucky,USA
4280,Kelly Olynyk,Gonzaga,Canada
4283,Kelly Oubre Jr.,Kansas,USA
4286,Kemba Walker,Connecticut,USA
4293,Kenrich Williams,TCU,USA
4424,Lou Williams,,USA
4417,Lonnie Walker IV,Miami,USA
4430,Luc Mbah a Moute,UCLA,Cameroon
4427,Louis King,Oregon,USA
4564,Michael Frazier II,Florida,USA
4567,Michael Kidd-Gilchrist,Kentucky,USA
4571,Michael Porter Jr.,Missouri,USA
4574,Mikal Bridges,Villanova,USA
4577,Mike Conley,Ohio State,USA
4584,Mike Muscala,Bucknell,USA
4587,Mike Scott,Virginia,USA
4590,Miles Bridges,Michigan State,USA
4593,Mitchell Robinson,Western Kentucky,USA
4597,Miye Oni,Yale,USA
4600,Mo Bamba,Texas-Austin,USA
4603,Monte Morris,Iowa State,USA
4606,Montrezl Harrell,Louisville,USA
4610,Moritz Wagner,Michigan,Germany
4613,Moses Brown,UCLA,USA
4616,Mychal Mulder,Kentucky,Canada
4619,Myles Turner,Texas-Austin,USA
4626,Nassir Little,North Carolina,USA
4639,Naz Mitrou-Long,Iowa State,Canada
4642,Naz Reid,Louisiana State,USA
4646,Nemanja Bjelica,,Serbia
4649,Nerlens Noel,Kentucky,USA
4655,Nickeil Alexander-Walker,Virginia Tech,Canada
4662,Nicolas Batum,,France
4665,Nicolas Claxton,Georgia,USA
4668,Nicolo Melli,,Italy
4672,Nigel Williams-Goss,Gonzaga,USA
4675,Nikola Jokic,,Serbia
4557,Mfiondu Kabengele,Florida State,Canada
4554,Meyers Leonard,Illinois,USA
4561,Michael Carter-Williams,Syracuse,USA
4548,Maxi Kleber,,Germany
4433,Luguentz Dort,Arizona State,Canada
4437,Luka Doncic,,Slovenia
4440,Luka Samanic,,Croatia
4443,Luke Kennard,Duke,USA
4446,Luke Kornet,Vanderbilt,USA
4453,Malcolm Brogdon,Virginia,USA
4456,Malcolm Miller,Holy Cross,USA
4459,Malik Beasley,Florida State,USA
4466,Malik Monk,Kentucky,USA
4469,Malik Newman,Kansas,USA
4476,Marc Gasol,,Spain
4479,Marco Belinelli,,Italy
4551,Melvin Frazier Jr.,Tulane,USA
4486,Marcus Smart,Oklahoma State,USA
4489,Marial Shayok,Iowa State,Canada
4482,Marcus Morris Sr.,Kansas,USA
4495,Markelle Fultz,Washington,USA
4544,Max Strus,DePaul,USA
4541,Maurice Harkless,St. John's,USA
4538,Matthew Dellavedova,St.Mary's College of California,Australia
4492,Mario Hezonja,,Croatia
4531,Matt Mooney,Texas Tech,USA
4528,Matisse Thybulle,Washington,USA
4535,Matt Thomas,Iowa State,USA
4518,Marvin Williams,North Carolina,USA
4515,Marvin Bagley III,Duke,USA
4512,Marquese Chriss,Washington,USA
4508,Marques Bolden,Duke,USA
4502,Marko Guduric,,Serbia
4499,Markieff Morris,Kansas,USA
4525,Mason Plumlee,Duke,USA
4162,Jordan McLaughlin,Southern California,USA
5194,Zeke Nnaji,Arizona,USA
5175,Xavier Tillman,Michigan State,USA
3793,Freddie Gillespie,Baylor,USA
3803,Gabriel Deck,,Argentina
3852,Grant Riller,College of Charleston,USA
3862,Greg Whittington,Georgetown,USA
3774,Facundo Campazzo,,Argentina
3640,Devon Dotson,Kansas,USA
3659,Didi Louzada,,Brazil
3715,Dylan Windler,Belmont,USA
3738,Elijah Bryant,Brigham Young,USA
3741,Elijah Hughes,Syracuse,USA
4051,Jay Scrubb,                                   ,USA
4055,Jaylen Adams,St. Bonaventure,USA
4130,John Wall,Kentucky,USA
4015,James Wiseman,Memphis,USA
4012,James Nunnally,California-Santa Barbara,USA
3891,Immanuel Quickley,Kentucky,USA
