pid,team,season
3238,5279,2020-21
3245,5302,2020-21
3248,5240,2020-21
3251,5295,2020-21
3254,5263,2020-21
3202,5224,2020-21
4143,5253,2020-21
3382,5243,2020-21
3388,5214,2020-21
3519,5279,2020-21
3522,5240,2020-21
3526,5240,2020-21
3529,5282,2020-21
3532,5273,2020-21
3535,5224,2020-21
3539,5273,2020-21
3545,5240,2020-21
3548,5302,2020-21
3552,5289,2020-21
3555,5207,2020-21
3558,5253,2020-21
3561,5211,2020-21
3565,5295,2020-21
3568,5292,2020-21
3571,5246,2020-21
3578,5224,2020-21
3581,5282,2020-21
3584,5233,2020-21
3588,5292,2020-21
3591,5289,2020-21
3594,5302,2020-21
3597,5250,2020-21
3601,5233,2020-21
3604,5220,2020-21
3610,5299,2020-21
3614,5286,2020-21
3617,5269,2020-21
3623,5292,2020-21
3516,5207,2020-21
3512,5220,2020-21
3509,5246,2020-21
3506,5302,2020-21
3392,5243,2020-21
3395,5302,2020-21
3398,5224,2020-21
3401,5302,2020-21
3408,5273,2020-21
3411,5276,2020-21
3418,5289,2020-21
3421,5295,2020-21
3424,5211,2020-21
3431,5282,2020-21
3434,5289,2020-21
3437,5240,2020-21
3441,5276,2020-21
3444,5207,2020-21
3385,5286,2020-21
3447,5220,2020-21
3454,5217,2020-21
3457,5276,2020-21
3460,5224,2020-21
3467,5233,2020-21
3473,5220,2020-21
3477,5263,2020-21
3480,5240,2020-21
3483,5240,2020-21
3486,5292,2020-21
3490,5279,2020-21
3493,5289,2020-21
3496,5286,2020-21
3499,5237,2020-21
3503,5224,2020-21
3450,5217,2020-21
4149,5253,2020-21
4153,5237,2020-21
4156,5276,2020-21
4799,5289,2020-21
4802,5263,2020-21
4806,5286,2020-21
4809,5276,2020-21
4812,5214,2020-21
4815,5289,2020-21
4819,5302,2020-21
4822,5260,2020-21
4825,5295,2020-21
4828,5233,2020-21
4832,5214,2020-21
4835,5286,2020-21
4838,5299,2020-21
4842,5292,2020-21
4845,5299,2020-21
4848,5302,2020-21
4851,5302,2020-21
4858,5220,2020-21
4864,5233,2020-21
4868,5233,2020-21
4871,5260,2020-21
4874,5253,2020-21
4877,5233,2020-21
4881,5214,2020-21
4884,5246,2020-21
4887,5279,2020-21
4894,5273,2020-21
4897,5279,2020-21
4904,5230,2020-21
4796,5211,2020-21
4793,5246,2020-21
4789,5269,2020-21
4786,5279,2020-21
4685,5286,2020-21
4688,5269,2020-21
4691,5295,2020-21
4695,5269,2020-21
4701,5207,2020-21
4704,5243,2020-21
4708,5276,2020-21
4711,5260,2020-21
4714,5217,2020-21
4717,5230,2020-21
4721,5295,2020-21
4724,5260,2020-21
4727,5246,2020-21
4731,5295,2020-21
4907,5276,2020-21
4734,5246,2020-21
4740,5292,2020-21
4744,5246,2020-21
4747,5230,2020-21
4750,5279,2020-21
4753,5295,2020-21
4757,5214,2020-21
4760,5256,2020-21
4763,5224,2020-21
4766,5292,2020-21
4770,5276,2020-21
4773,5269,2020-21
4776,5246,2020-21
4780,5302,2020-21
4783,5240,2020-21
4737,5220,2020-21
4682,5211,2020-21
4913,5207,2020-21
4920,5211,2020-21
5044,5299,2020-21
5051,5256,2020-21
5054,5227,2020-21
5057,5292,2020-21
5060,5214,2020-21
5064,5220,2020-21
5070,5273,2020-21
5073,5282,2020-21
5077,5227,2020-21
5080,5233,2020-21
5083,5256,2020-21
5086,5211,2020-21
5093,5227,2020-21
5096,5289,2020-21
5100,5279,2020-21
5109,5253,2020-21
5113,5299,2020-21
5116,5256,2020-21
5119,5217,2020-21
5126,5256,2020-21
5132,5279,2020-21
5135,5230,2020-21
5139,5233,2020-21
5142,5276,2020-21
5145,5266,2020-21
5149,5266,2020-21
5152,5250,2020-21
5155,5230,2020-21
5158,5266,2020-21
5041,5214,2020-21
5037,5292,2020-21
5034,5207,2020-21
5031,5282,2020-21
4923,5295,2020-21
4930,5237,2020-21
4933,5240,2020-21
4936,5266,2020-21
4940,5273,2020-21
4943,5286,2020-21
4946,5243,2020-21
4949,5243,2020-21
4953,5214,2020-21
4956,5269,2020-21
4959,5250,2020-21
4966,5224,2020-21
4969,5246,2020-21
4972,5289,2020-21
4917,5207,2020-21
4975,5279,2020-21
4982,5217,2020-21
4989,5220,2020-21
4992,5260,2020-21
4995,5273,2020-21
4998,5269,2020-21
5002,5302,2020-21
5005,5224,2020-21
5008,5253,2020-21
5011,5227,2020-21
5015,5211,2020-21
5018,5279,2020-21
5021,5220,2020-21
5024,5273,2020-21
5028,5207,2020-21
4979,5276,2020-21
5168,5266,2020-21
4678,5220,2020-21
4668,5227,2020-21
4293,5273,2020-21
4296,5237,2020-21
4299,5250,2020-21
4303,5240,2020-21
4306,5211,2020-21
4313,5207,2020-21
4316,5269,2020-21
4319,5224,2020-21
4322,5240,2020-21
4326,5237,2020-21
4329,5295,2020-21
4332,5260,2020-21
4335,5240,2020-21
4339,5233,2020-21
4342,5253,2020-21
4345,5266,2020-21
4348,5250,2020-21
4352,5207,2020-21
4355,5227,2020-21
4365,5253,2020-21
4368,5289,2020-21
4375,5250,2020-21
4378,5295,2020-21
4384,5211,2020-21
4388,5211,2020-21
4391,5217,2020-21
4394,5224,2020-21
4401,5211,2020-21
4404,5282,2020-21
4290,5256,2020-21
4286,5273,2020-21
4283,5237,2020-21
4280,5240,2020-21
4159,5299,2020-21
4162,5263,2020-21
4169,5260,2020-21
4172,5237,2020-21
4179,5227,2020-21
4182,5273,2020-21
4185,5266,2020-21
4188,5233,2020-21
4195,5263,2020-21
4202,5227,2020-21
4205,5260,2020-21
4208,5237,2020-21
4211,5263,2020-21
4215,5269,2020-21
4407,5224,2020-21
4221,5243,2020-21
4228,5289,2020-21
4231,5240,2020-21
4234,5273,2020-21
4241,5253,2020-21
4244,5286,2020-21
4247,5299,2020-21
4250,5256,2020-21
4257,5276,2020-21
4260,5263,2020-21
4264,5246,2020-21
4267,5292,2020-21
4270,5243,2020-21
4273,5292,2020-21
4277,5286,2020-21
4224,5260,2020-21
4675,5230,2020-21
4410,5220,2020-21
4417,5292,2020-21
4571,5230,2020-21
4574,5282,2020-21
4577,5299,2020-21
4580,5211,2020-21
4584,5273,2020-21
4587,5279,2020-21
4590,5217,2020-21
4593,5269,2020-21
4597,5299,2020-21
4600,5276,2020-21
4603,5230,2020-21
4606,5250,2020-21
4610,5276,2020-21
4613,5214,2020-21
4616,5237,2020-21
4619,5243,2020-21
4623,5266,2020-21
4626,5286,2020-21
4629,5217,2020-21
4633,5227,2020-21
4636,5207,2020-21
4642,5263,2020-21
4646,5256,2020-21
4649,5269,2020-21
4652,5217,2020-21
4655,5266,2020-21
4659,5237,2020-21
4662,5246,2020-21
4665,5211,2020-21
4561,5276,2020-21
4557,5224,2020-21
4554,5256,2020-21
4548,5227,2020-21
4420,5266,2020-21
4424,5207,2020-21
4427,5289,2020-21
4433,5273,2020-21
4437,5227,2020-21
4440,5292,2020-21
4443,5246,2020-21
4446,5214,2020-21
4450,5295,2020-21
4453,5243,2020-21
4459,5263,2020-21
4463,5246,2020-21
4466,5217,2020-21
4473,5260,2020-21
4414,5250,2020-21
4476,5250,2020-21
4486,5214,2020-21
4495,5276,2020-21
4499,5250,2020-21
4505,5230,2020-21
4508,5224,2020-21
4512,5237,2020-21
4515,5289,2020-21
4522,5279,2020-21
4525,5233,2020-21
4528,5279,2020-21
4535,5299,2020-21
4538,5224,2020-21
4541,5289,2020-21
4544,5256,2020-21
4482,5246,2020-21
3137,5230,2020-21
